review,rating
my elderly father my aunt my late mothers sister and i departed from jakarta to san francisco via tokyo on th may to visit my sisters and the family in northern america this would be my th visit to northern america the last previous visit was in whereas my first trip with japan airlines to northern america was in we took the am flight from jakarta jl which was approximately on time and arrived safely in narita airport at roundabout pm tokyo time transit was less than hours as scheduled and the duration of the jl flight from tokyo to san francisco was approximately hours the plane from jakarta to tokyo was not fully occupied in contrast there was hardly a vacant seat for the tokyo to san francisco flight one thing i noticed from the flight tracker was that the plane flew directly above the pacific ocean from tokyo to san francisco whereas in the past japan airlines would fly north to be near the alaska and canadian shores that really explained why the flight duration was shorter than in the past which would take between hours furthermore both the cabin crew and ground staff were polite and professional in particular by providing excellent wheelchair service for my yearold father right from the checkin process in jakarta until arrival in san francisco international airport highly recommended for senior passengers for northern america bound flight from jakarta,4
dunno how people rate this airline as good each flight we did was subpar service from staff when theres an issue is completely useless,1
i flew japan airlines from bangkok to osaka and its my first time flying full service airlines after stuck flying low cost carriers and from my experience its phenomenal check in process was fast cant believe i got nice legroom space on economy the flight attendants were friendly and polite as soon i seated seat was actually comfortable and there was pillow and blanket included as well headphones and also the seat has leg rest in flight entertainment since its the all seat came with dimmable windows the flight attendant gave everyone a bottle of water to drink and at that time i was thirsty all because the security wont allow water through now guess what delayed departed from suvarnabhumi at in the morning during cruising flight attendants offered me variety choices of drinks of course i choose apple juice but guess what free snacks napkins as well wet wipes now of course i went to the bathroom and its clean speaking of cleanliness seats were a bit exposed but thats fine the seats still comfortable the in flight entertainment has a lot of movies and games hours later the meal was served i got some kind of salmon porridge a salad strawberry yogurt fruits and another salad then flight attendant offered me the same variety of drinks but i choose orange juice this time but guess what silverware in economy its supposed to be plastic but the airline was very nice and gave me silverware then i enjoyed the meal after all its delicious and tasty then i watched some movies in the remaining time then guess what landed early overall i would recommend this airline since the meal is good plenty of legroom great seats and friendly service,5
in a way jal reminds me of my entire japan experience great service nice people but subpar websites trying to figure things out on their site is a bit of a maze forget the app and trying to sign up for their rewards otherwise awesome flight great attendants,5
great maybe best flight experience always on time or even early food is conveniently served hours after takeoff so passengers can get some sleep seat had a good amount of recline and the biggest amount of legroom ever im only around foot and i can stretch my legs out in my seat flight attendants were very helpful as i have accidentally dropped something into the seat structure whilst i was asleep table was averagely large i havent used in flight entertainment but it is worth noting that if you are flying from or to europe you should never pay for the wifi because it wouldnt connect to the satellite overall i would fly japan airlines again,4
deceiving baggage information prior and after making payment terrible customer service agent on line keeps cutting me off had me waited too long when asked to transfer the call,1
would highly recommend jal service great staff wonderful inflight service excellent kind friendly helpful staff all the way through go out of their way to help provide assistance for people with mobility issues all round service top notch would highly recommend,5
nice flight attendants one of the worst online experiences i have every had with an airline the site was totally impossible to figure out and the app never worked for us the premium economy cabin was not worth it and the food was the worst i have ever experienced in the air we love to travel pe and it is usually worth it but not in this case never again,2
i am glad i choose japan airline from la to osaka on their business class about hours none stop for me matter to me most when i travel long haul flight to asian i all way travel in premium economy or business class cabin comfort professionalism of the crews and on time flight was only delay about half hours seats spacious and comfortable not over crowd fight attendant all way have the can do attuite very professional understand english really well they all surprised my japanese not too bad excellent tasty western menu beef is so delicious top ingredients and lovely flavors must try their light meal snake curry potato is out of this world i am so relax and sleep like a baby all most all the way to osaka ps also in lax for international flight best arrived airport less to hour it is busy airport best come early morning no long line up so peaceful and fast moving for security screening so take my word remember early bird do gets the worm you will get pleasant happy journey,5
worst company ever they broke up of suitcases and gave us less than euros the suitcases costs more t han euros never flight with them,1
