rating,review
4,looks durable charging is fine toono complainscharging is really fast good producttill now satisfied with the qualitythis is a good product the charging speed is slower than the original iphone cablegood quality would recommend had worked well till date and was having no issuecable is also sturdy enoughhave asked for replacement and company is doing the samevalue for money
4,i ordered this cable to connect my phone to android auto of car the cable is really strong and the connection ports are really well made i already has a micro usb cable from ambrane and its still in good shape i connected my phone to the car using the cable and it got connected well and no issues i also connected it to the charging port and yes it has fast charging supportit quality is good at this price and the main thing is that i didnt ever thought that this cable will be so long its good one and charging power is too good and also supports fast chargingvalue for money with extra lengthgood working fineproduct quality is goodgoodvery goodbought for my daughters old phonebrand new cable it was not charging i already repacked and requested for replacementi checked again and there was some green colour pastefungus inside the micro usb connector i cleaned with an alcoholic and starts working againchecked the ampere of charging speed got around mama not bad came with braided m long cable pretty impressive for the pricecant blame the manufacturerbut quality issues by the distributor they might have stored in very humid place
3,not quite durable and sturdy good nice productworking wellits a really nice product
4,good productlong wirecharges goodnicei bought this cable for rs worthy product for this price i tested it in various charger adapters w and w it supports fast charging as wellgoodoki had got this at good price on sale on amazon and product is useful with warranty but for warranty you need to go very far not practical for such a cost and mine micro to type c connector stopped working after few days onlyi like this product
4,bought this instead of original apple does the work for rs not as fast as apple charger but its a good option if you want cheap and good product bought it for ipad pro and its working flawlessly build quality is ok its not like i am gonna hang my clothes on it and i want a very strong cable even a braided cable stop working after a year i have used both anker and apple store strong braided cable they all stop working after a year so please dont buy high end cables just for that instead choose a this one and even if its stops working withing a year you only loose rs compares to rsupdatepin has stopped charging from one side now i have to slip the pin to charge from other side but i will update and let know for how long does it workits good not sure about durability as the pin area feels a bit fragiledoes not support apple carplayso was little disappointed about thatother than that cable is made up of very good qualitybest to buy not fathfulwriting this review post months and orders of the same producthonestly portronics konnect l lightning cable works like magic with the original apple charging brickseeing the price of the cable i initially hesitated buying as it was as low as with the offers and so i wasnt sure if it would work well with my iphone or whether it would impact my iphones battery health because all the other lightning cable brands were costing over like wayona amazon basics etcearlier i was using wayona brand lightning cable with eventually frayed and stopped workingcharging speedcharges my iphone fast enough almost similar compared to the original cable level when used with w original apple power adapterquality and durabilitygreat quality braided cable and doesnt tangle easily and can withstand daytoday usagelshaped pinthis is very innovative by portronics and it makes sure the cable doesnt get damaged even if used while chargingcarplay and data syncworks smoothly with carplay and syncs data effortlesslyps i have used this cable only with the original apple charging brick and extremely satisfied with its performancebetter than i expect the product i like that quality and i plan to buy same type cable come with usb c to lighting cable for emergency purpose that much i love this cable buy for this cable only emergency uses only since good onegood product and value for money
3,its a good productlikevery good item strong and useful usb cablevalue for moneythanks to amazon and producer product and useful productsturdy but does not support w charging
4,build quality is good and it is comes with year warrantygood productbought it for charging my mobile tab but it doesnt work for lenovo m tabguys this cable is is best compare of everyone over heat protection quickly charging but chance to shock circuitgoodnicegood qualityएम क डट कबल मर लए बहत ह लभदयक ह म इस कबल क लइन म चरज करत समय फन बहत आरम स उपयग कर प रह ह आप इस कबल स watt क चरजर उस कर सकत ह इसस जड नह लकल बजर म इसक दम ह अमजन प य कबल मझ म मल गरव स कह हम हद ह जय हद जय भरत
4,worth for money suitable for android auto my purpose served in cargot it for rseverything is okay but packaging is not good feeling like seller gave is used cablegood productgood product but cost is moreoriginal cablei bought this cable at using this cable for android auto in my car perfectly works without any glitchoriginal mi cable will charge upto watts got it for rs i have watt charger and i want a cable for my car so i went for it i checked the performance with battery charging app the charging speed is exactly half of my watt original cable go for itit provided me turbo charging i recommend for all redmi note s mobile phones as it provide turbo charging i am veri happy with this product
4,i use this to connect an old pc to internet i tried lubuntu and ubuntu it worked out of the box in both didnt have to do any setup theres an extender cable so you can place this in a comfortable place get the model with antenna because otherwise youll have range problems if youre not directly in line of sight from your wifi routerthe wifi dongle is a simple plug play device will start catching available networks right after you plug it into your usb port no additional installations softwares requires signal strength is good just wonder what would be different in other adapters of lesser known brands which are available at a much more competitive pricing hence a star lessproseasy to use portablecan be connected to mobile hotspot and used in pc budget friendlyless installation processno heating issues good coveragebest alternative for usb tethering phones battery may get damaged for long term run with tetheringconsinternet connection speed varies at times also depends on your modem or cellular connectionissues occur while installing via cd which is available along with the product installation driver can be downloaded from tplink siteneeded to reconnect the adapter every time system is turned onwill not work if your software has some issues so encountered any just update your systemworked for mesupport center is worse calls are unattended most of the times or just visit nearby storeconclusionbrought this ideal for users who dont need very high speed internet usagea good alternative for usb tethering and are on budgep youtube videos can be easily played with this without any interruptionswifi connectivity is a great good result for me however some jitter problems did existthis is perfect device to connect wifi go for itthis wifi adopter is good workingpictures attachedsizedesign build quality packaging software speed connectivity experience warranty size and designthe best part about this is that it is very compact in size and very sober and elegant in design this is a big plus as it is easy plug in and use add to it the good sober designbuild qualitythe build quality is undoubtedly superb just no qualms about that at all when held it doesnt give off that cheap and flimsy productlike feeling it is good sturdy with its build qualitypackagingthis part is also a big plus as the item was well cushioned and packaged with all the necessary items that ensured that no damage could have been caused to the product during transportation this ensures that i as a customer have received something not damaged internally alreadysoftwarethis is actually good but not great part with the productthe good part is that a cd has been provided with it along with a manualthe not great part is that no linux support has been given from version onwards this is bad reallyspeedit easily supports net speeds upto mbps practically speaking i have tested it at my home and it easily supports net speed of over mbps without a sighon testing i found that it did connect to ghz network without any issueconnectivityplease mark its not feet its metres multiply metres x to get the distance in feetit easily connects to my laptop or phone from metres across one room so thats feet i mean even our old bluetooth used to connect to about ftso feet is not at all an issue with this this is the big plus i found with the productexperiencefrom this point of view so far except the linux noncompatibility issue i found no other flaws with this productso overall its a great productwarrantyits years so i am assured that atleast for years i am tensionfree and not just year contrary to most electronic items today that only provide year warranty with their itemsbest adapter i have bought ever works nicely seemless connectivity
4,the cable is efficient in fast charging but in quick data transfer overall finei like the usb c l shape nylon shielded core wire it improves the life of the cablei think i buy these every months or so fast charging stops working after a while probbly something to do with the cable design the cable gets twisted over time and i suspect that breaks the high capacity wires inside but i keep buying it because there arent too many options in an l shaped designgood and durable product sometime the charges doesnt work on few adapters there might be few cut off or something but works fine on apple adapter car charger usbthe product is really good at affordable pricegood and fast charging and value for moneyபரள உடய கடனததனமயன நனறக உளளத சரஜ ஏறம வகம watnot a fast charger very slow charging with w lshape pin is very useful
