REVIEW,rating
even without the endgame content temtem is worth a look for anyone who has enjoyed a pokémon game in the last twoandahalf decades especially those who have wanted a steeper challenge to go along with their critter collecting its a familiar imitative experience in so many ways yet we came away satisfied with just about every tweak made to the wellestablished formula sure the main quest becomes a bit of a slog and yes the nintendo switch does struggle to keep up at times despite these qualms temtems engaging battles enshrine it as one of the most innovative additions to the genre in recent memory,1
splatoon is more of the same but refined to borderline mechanical perfection its the most fun weve had with an online shooter in years and for series veterans it makes splatoon feel entirely redundant for all but its unique singleplayer content it feels like the development team has solved every problem the splatoon community was bleating on about and then fixed some more that we didnt even realise were problems until they were fixed theres nothing revolutionary about it compared to its predecessors and its perhaps missing a big new idea that you might expect after five years but splatoon is the pinnacle of the series and the pinnacle of shooters on switch,2
while you wont find an evocalibre fighting game here depthwise jojos bizarre adventure allstar battle r is miles ahead of your typical darena anime fighter affair it would be a hard game to recommend to someone unfamiliar with the franchise as without the fan service aspect youre left with a basic fighter with some barebones modes however for those who adore jojo its an excellent example of how to do fan service right and one where you can feel the love and adoration of the franchises year history flowing through every part of the package,1
pacman world repac isnt a game that wed suggest you rush out and buy at once but it does a good job of reviving a decent d platformer for modern audiences tight controls lots of collectables and enjoyable level design ultimately outweigh minor performance hiccups and a general lack of imagination if you dont consider yourself a fan of platforming or pacman nothing here is going to change your mind and wed suggest you pass if you like classicstyle d platformers pacman world repac will absolutely prove itself worth your time even if it doesnt impress like the best in the genre,1
tmnt the cowabunga collection is indisputably the best thing konami has released in a long while meeting all expectations and then some bar absent difficulty settings for the arcade games its an anthology that finally gets it totally right digital eclipse and konami have done the fans justice offering a comprehensive library that doesnt hide content behind a paywall while going above and beyond in terms of features and bonuses with online functionality and rollback netcode being the icing on the cake this is now the gold standard for retro collections capcom pay close attention,1
ultimately wave of mario kart deluxe doesnt quite knock it out of the park we know weve been bashing these courses left right and centre but when it comes to mario kart we have pretty high standards you know however none of the tracks on offer are straightup bad most of them just feel like bside filler when compared to the main tracks created specifically for mario kart theres still a great deal of fun to be had here particularly when you crank up the difficulty to cc we have to keep reminding ourselves of the bigger picture too weve now got sixteen new courses for mario kart deluxe and were not even halfway through yet weve still got a ways to go,2
digimon survive is one of the best visual novels to come out so far this year with plenty of heart and tension to carry you through to the final act fans looking for an engaging story with wellwritten and presented characters that deal with lifeanddeath situations will enjoy the ride while players focused on the combat will probably find that the game comes up short despite its sluggish padded start digimon survive is well worth the long wait,1
xenoblade chronicles is a genuine masterpiece and the highlight of monolith softs superb series thus far theres an emotionallycharged and surprisingly edgy epic to get stuck into here a sprawling and hugely engaging narrative populated by a cast of unforgettable characters thats backed up by some of the very best combat weve had the pleasure of getting to grips with in this genre to date over hours into this one were as captivated now as we were when we first booted it up and it has more than delivered every bit of the adventure emotion and action that its key art promised it might aionios awaits its time to seize the future,2
live a live has been well worth the long wait this remake reintroduces an influential unique jrpg to the wider world with aplomb with a cacophony of different gameplay styles music and visuals that somehow hang together beautifully despite looking like octopath traveler and perfecting the hdd visual style youd do well to remember that this is still a super famicom rpg with many of the frustrations that come with s rpgs still intact in this remake still we admire that square enix decided not to change too much with this remake instead delivering an authentic and faithful update to the game that the majority of players outside japan missed nearly three decades ago this is a piece of gaming history we have loved getting to experience for the first time,1
make no mistake klonoa phantasy reverie series is the best way to currently play these two platforming classics and namco has done a decent job of presenting these titles in the best possible light with around hours of dreamy retrostyled platforming contained in this package klonoa veterans and younger platforming fans will find lots to love in the whimsical worlds and puzzleplatforming level design on offer here some performance issues aside its tough not to fall in love with this duology catch it when you can,1
wreckfest is one of the more impressive switch ports weve seen taking a game that already had performance issues on more powerful hardware and delivering a relatively stable version with reasonable loading speeds and all its debrisflinging carnage fully intact handheld play is a little less visually acceptable and the switch tax rears its ugly head again but just like the roughandready roadsters in the game we ultimately had a great time behind the wheel,2
ai the somnium files nirvana initiative is one of the most interesting visual novels weve played through in a while the murder mystery at its heart is brought to life by some great writing and quirky characters alongside the satisfyingly integrated beautifully balanced psync puzzle elements even with some minor control issues there is a lot to love in this game even if you never picked up the original highly recommended if youre even a little bit curious,1
fire emblem warriors three hopes is a thoroughly entertaining mashup of musou mayhem strategy and relationshipbuilding aspects that should more than satisfy fans of both the franchises involved here it improves upon its predecessor in several ways most notably in providing a far more engaging story featuring a narrative thats ripe for several replays with impressively solid performance on switch and an actionpacked campaign thatll see you blasting your way through tens of thousands of foes for a good hours in a single playthrough this is right up there with the very best omega force has served up thus far,1
demon slayer kimetsu no yaiba the hinokami chronicles is a very solid action game presenting a gripping story and thrilling action combat alongside an art style that almost perfectly matches the popular anime though combat can sometimes feel a bit shallow and the performance isnt always perfect wed still give this one a strong recommendation even to those who dont have any background with the anime or manga,1
mario strikers battle league is a masterclass in competitive game design what it lacks in options is more than made up by just how much fun the game is and its absolutely gorgeous to boot as it stands it already feels like a complete product but the promise of future updates down the line gives us even more to get excited about if arcade sport action isnt your bag itll likely do nothing to sway your opinion but if you have even a passing interest in this kind of caper mario strikers battle league is the best sports game on switch right now,1
for fans of pacman and his historical pedigree this is the best roundup yet spanning decades and featuring his most notable titles its the kind of collection the current wonder boy release should have been the arcade overworld is a nice touch although the frame rate is a big letdown and really should have been ironed out and while you might spend a while tinkering and designing your arcade space the attraction of the gimmick is ultimately shortlived presentation deficiencies aside though one cant really fault the comprehensiveness of the collection nor the quality of the titles themselves well except pac in time its a pacfestival and while it certainly has limited appeal it offers countless hours of gaming fun and an interesting historical insight into the yellow orbs evolution,1
kao the kangaroo may have been on hiatus for a while but were glad to see that hes back in good form wellpaced level design an appealing art style surprisingly satisfying combat and lots of collectibles to snag all come together to make for a thrillingly retro d platforming experience that said elements like an occasionally misbehaving camera and performance issues hold this adventure back from being the really excellent revival it could have been if you still find a lot to love about games like a hat in time demon turf or banjokazooie then were confident that youll have a great time with kao the kangaroo despite its minor issues if youre a bit tired of such games however this isnt going to do much to change your mind overall wed recommend investigating kao the kangaroo if youre the slightest bit interested despite some rough edges this is a charming platforming experience,1
nintendo switch sports is a charming but barebones offering its not a bad game by any stretch but it lacks an awful lot of what would make for a solid recommendation online play is the best option on offer with unlockable customisations and a predictably broader pool of players but its limited scope means youll be doing the same thing time after time local play is hobbled by a lack of any unlockables whatsoever and with such limited options to change up how each sport plays out solo play is a slog,1
despite us making numerous comparisons to the super nintendo game pocky rocky reshrined is for the vast majority a completely new entry in the series and thats worth celebrating for several reasons tengo project well aware of the originals pedigree was smart enough to only use it as inspiration rather than attempt to follow its lead beatforbeat within this modern framework the developer has constructed a thrilling tapestry of light colour and actionpacked junctures for hardcore gamers to get their teeth into is it better than natsumes venerable outing no but its about on par albeit for slightly different reasons pocky rocky reshrined is a blessing a gorgeouslooking delightfully artful new interpretation of a muchloved classic and a noteworthy example of what can be achieved creatively with the d medium if youre even mildly into the application of oldschool gaming disciplines it should be snapped up without a second thought,1
zombie army dead war is a surprisingly solid switch port of one of our favourite rebellion titles thus far theres a ton of zombie nazislaying sweetness to get stuck into here and although the graphics have taken a hit and the frame rate has been halved in comparison to other platforms whats here is eminently playable in both docked and handheld modes whether youre taking on hitlers undead hordes alone or with a few friends in tow this ones a ton of schlocky bmovie fun that gets a great big thumbs up from us,1
the ultimate question is whether you should play mlb the show on switch well it depends if its your main or only platform and youre happy playing cpu and offline games then yes its not bad and holds things together just enough for gameplay to be enjoyable if you want an onthego version to accompany a more powerful home console version perhaps on game pass then its another yes if you want to mainly play online in diamond dynasty no this isnt the way to go mlb the show is admirably packed with content and features but its not entirely comfortably packed into the diminutive switch it lacks the fluidity and crispness found elsewhere which is perhaps expected but doesnt change the fact if youre happy with the compromises though then step up to the plate,2
sentinels aegis rim is a wonderful achievement for dynamic storytelling as it puts forth a compelling and multifaceted narrative thatll keep you guessing right up until the very end this excellent story combined with enjoyable combat portions a striking art style and some topnotch voice acting make for an experience that you wont want to miss out on its the kind of game thatll have you wishing that you could play it again for the first time just so all its best elements could be new again wed give sentinels aegis rim a strong recommendation then to anyone who has even a passing interest in visual novels even if that doesnt describe you wed still say to give it a shot you might just be surprised at how well it grabs you,1
lego star wars the skywalker saga is a fantastic experience on switch a great big celebration of everything star wars thats made the jump to nintendos console in surprisingly fine form the upgrades to the series core gameplay here the combofocused combat flashy space battles boss encounters overtheshoulder shooting action and cover system all combine to make this the best lego star wars has ever felt to play throw in a humongous open world setting thats bursting at the seams with secrets and collectibles and youve got an absolute smorgasbord of all things star wars to dig into turns out we were fools to think we could ever get tired of jedis and lightsabers and the pewpewpew of flashy space guns,1
touken ranbu warriors is a game best suited for players with little experience with the dynasty warriors series in general if this is meant to appeal primarily to fans of the freetoplay games with far lower expectations when it comes to action games as a great big slice of touken danshi fan service this will be a great addition to their collection for players less versed in the world of touken ranbu this is a much harder sell offering a rote repetitive game loop that does little to slake your thirst for a more meaningful evolving game experience this criticism could arguably apply to all of the warriors games but where the bigger licensebased games add to the formula touken ranbu warriors feels like a distillation in a lot of ways and for certain audiences this is perfectly fine by this point in time the dynasty warriors machine is a welloiled refined and polite product the video game equivalent of a honda civic but even with a wellloved product as reliable as that there comes a point when its just time to get with the times,1
