rating,review
5,good
5,jake
5,it does the job well
5,good windscreen for the money
5,no more pops when i record my vocals
5,the best cable
5,monster standard instrument cable
3,didnt fit my fender strat
5,great cable
5,best instrument cables on the market
5,one of the best instrument cables within the brand
4,it works great but i hardly use it
3,has to get use to the size
5,awesome
5,it works
2,definitely not for the seasoned piano player
4,durable instrument cable
5,fender ft cali clear
5,so far so good will revisit at the month mark
5,add california to the name and i jump
4,cheap and cool looking good length
5,fender feet california clear instrument cable lake placid blue
4,guitar cable
5,quality cable
5,i got great pricing but still a really good product
4,its a hosa
5,quality and secure
5,midi to midi
4,very heavy cables at affordable price
5,still going
5,does what its supposed to do
5,good cable
4,good enough
5,great little cord
5,does the job what more do you need
4,decent mic cable
4,decent inexpensive cable
4,a fine cable
5,hosa is the best
4,excellent quality exactly what i needed
5,great value
5,five stars
5,pretty cheap cable that has lasted so far
5,very nice cable
5,nice guitar cable even better price
4,does what you want
4,flexible soft rubber is great
5,works wonderfully no noise
5,excellent
5,great guitar cable good value highly recommended
2,cannot recommend
5,cable works as described
1,i have bought many cables and this one is the only one that gives me problems
4,gets the job done
5,nice cable for the price
5,well made audio cable
5,eh
5,great affordable cord
4,nice cable
3,maybe not the best but it serves its purpose
5,high quality low cost
5,works as advertised
5,good cables
5,no complaints
5,good quality
5,perfect for practice
5,nice high quality guitar cable
4,works well
5,well built cable
5,pperfect amp chordfor home use
5,hosa cable gtr guitar instrument cable ft
3,standard guitar cable
5,hosa electric guitar cable gtr
4,so far so good
3,average cable
5,good quality low price
3,good for the price
4,feel a little flimsy and can see easily breaking but the work
5,excellent
4,only complaint is the size which is my fault
5,worth it
5,works
5,good quality great price
5,very good quality for an excellent price
5,good cables at a good price
5,works well great quality
5,great value
4,very solid cables
1,crap
5,works good no complaints
5,good guitar cable
5,hosa rocks
3,does its job
5,good for direct connect to computer
5,does what it was intended for
5,works as expected
4,good for some uses
2,measure your damned wires before sending them
5,recommend
5,product shipd as expected but the listing for this item can be confusing
5,solved a big issue for me
5,good adapter cable
4,light weight cable for stereo mics with limitations
